Geography,state,federal_public_employment_yoy_percent_change,leisure_and_hospitality_employment_yoy_percent_change,manufacturing_employment_yoy_percent_change,private_employment_yoy_percent_change,public_employment_yoy_percent_change,retail_trade_employment_yoy_percent_change,state_and_local_public_education_employment_yoy_percent_change,state_and_local_public_employment_yoy_percent_change,total_employment_yoy_percent_change,unemployment_rate_raw
2021-12-01,Nevada,1.44927536231884,28.1595576619273,8.85416666666667,11.3207547169811,2.17113665389528,3.84615384615384,2.13903743315509,2.28108903605592,10.2107220328478,5.3
2022-01-01,Nevada,4.45544554455447,27.3262661955242,8.59106529209622,11.6160281814179,2.1656050955414,2.99727520435966,0.991501416430599,1.82748538011696,10.468085106383,5.2
2022-02-01,Nevada,2.92682926829269,25.6223669092302,8.33333333333334,10.8,2.35069885641677,3.66101694915255,2.14190093708165,2.26442658875091,9.7827749732293,5.1
2022-03-01,Nevada,2.91262135922329,22.9119638826185,7.75716694772344,10.0688468158348,2.21799746514575,4.11051212938005,1.99733688415446,2.11370262390671,9.13017123806637,5.0
2022-04-01,Nevada,1.4354066985646,17.3991354466859,6.98835274542428,8.71407985080952,1.76433522369251,4.72016183412003,2.00534759358289,1.81422351233674,7.89001793185893,5.0
2022-05-01,Nevada,0.478468899521538,15.0297098916463,7.98668885191348,7.68778850188837,1.88916876574307,4.09946236559139,2.01612903225806,2.10297316896302,7.00585055172926,4.9
2022-06-01,Nevada,1.4423076923077,11.4276025771448,8.42975206611569,7.46343085106383,1.57232704402516,4.16386836803223,-0.147492625368723,1.5918958031838,6.77580384671854,4.7
2022-07-01,Nevada,1.92307692307692,9.22473012757605,8.36065573770491,6.29084967320261,1.88205771643664,3.8821954484605,1.42405063291138,1.87590187590189,5.78285383836923,4.4
2022-08-01,Nevada,1.92307692307692,7.05273374312519,8.45528455284553,5.26059425231368,2.38843494657449,3.47361389445559,3.06748466257666,2.45842371655823,4.93205837946653,4.4
2022-09-01,Nevada,2.40384615384615,7.86769428387926,8.73786407766991,5.38112963262664,0.808960796515253,2.32712765957447,-1.68612191958495,0.571837026447471,4.85499462943072,4.4
2022-10-01,Nevada,2.92682926829269,7.25274725274726,7.37179487179487,4.18689803390911,1.1875,1.65453342157512,-0.515463917525762,0.931899641577069,3.8480547906517,4.6
2022-11-01,Nevada,0.0,6.24417520969246,7.53205128205127,4.46527888129668,1.37242669993761,1.52722443559098,1.80878552971575,1.57932519741564,4.11586440200154,4.9
2022-12-01,Nevada,-0.476190476190483,5.60862865947611,7.65550239234449,3.95216220497387,2.1875,1.52116402116403,1.80878552971575,2.58992805755395,3.75369042598061,5.2
2017-07-01,New Hampshire,0.0,2.00860832137732,1.31964809384163,1.40673845085099,-0.2212389380531,-0.623700623700633,-0.911854103343456,-0.24154589371981,1.18583008105674,2.8
2017-08-01,New Hampshire,-1.29870129870131,1.5691868758916,0.732064421669107,1.23178348369188,0.778642936596205,-0.623052959501552,0.877192982456132,0.973236009732357,1.17064385411978,2.8
2017-09-01,New Hampshire,0.0,-0.841514726507706,1.31964809384163,0.829445308449966,-1.42543859649122,-0.623052959501552,-1.85185185185185,-1.55502392344497,0.522466039707419,2.8
2017-10-01,New Hampshire,-1.29870129870131,1.85449358059916,1.17130307467057,0.968858131487893,0.442967884828356,-0.830737279335407,0.396039603960402,0.605326876513334,0.897800389046835,2.8
2017-11-01,New Hampshire,0.0,1.55807365439095,0.728862973760933,1.00293965070034,-0.551267916207277,-0.624999999999994,-2.54403131115461,-0.601684717208183,0.792227204783252,2.8
2017-12-01,New Hampshire,-1.29870129870131,2.86123032904149,0.873362445414839,1.0371650821089,0.331858407079643,-0.83333333333333,-0.986193293885602,0.483675937122135,0.941844819853501,2.8
2018-01-01,New Hampshire,0.0,2.13675213675214,0.725689404934688,0.758751508880838,1.00671140939596,-1.66320166320167,0.890868596881957,1.1002444987775,0.791872105184531,2.7
2018-02-01,New Hampshire,1.33333333333333,3.29512893982808,1.30813953488373,1.33010882708586,-0.2212389380531,-0.73068893528184,-1.20240480961924,-0.361881785283471,1.12057373375168,2.7
