iter	Passed	Remaining
1044	52834	7836
1045	52882	7785
1046	52937	7735
1047	52986	7685
1048	53032	7633
1049	53079	7582
1050	53124	7531
1051	53174	7480
1052	53226	7430
1053	53276	7379
1054	53327	7329
1055	53375	7278
1056	53422	7227
1057	53471	7176
1058	53522	7126
1059	53572	7075
1060	53620	7024
1061	53669	6973
1062	53718	6923
1063	53765	6872
1064	53811	6821
1065	53859	6770
1066	53910	6719
1067	53955	6668
1068	54003	6617
1069	54054	6567
1070	54101	6516
1071	54152	6466
1072	54206	6415
1073	54257	6365
1074	54312	6315
1075	54364	6265
1076	54419	6214
1077	54467	6164
1078	54516	6113
1079	54566	6062
1080	54618	6012
1081	54668	5962
1082	54717	5911
1083	54766	5860
1084	54815	5809
1085	54862	5759
1086	54913	5708
1087	54962	5657
1088	55008	5606
1089	55056	5556
1090	55105	5505
1091	55155	5454
1092	55206	5404
1093	55256	5353
1094	55303	5303
1095	55351	5252
1096	55401	5201
1097	55447	5150
1098	55497	5100
1099	55549	5049
1100	55601	4999
1101	55649	4948
1102	55700	4898
1103	55751	4847
1104	55798	4797
1105	55847	4746
1106	55895	4695
1107	55942	4645
1108	55991	4594
1109	56043	4544
1110	56092	4493
1111	56145	4443
1112	56197	4392
1113	56246	4342
1114	56302	4292
1115	56354	4241
1116	56402	4191
1117	56456	4140
1118	56510	4090
1119	56559	4039
1120	56611	3989
1121	56661	3939
1122	56708	3888
1123	56756	3837
1124	56805	3787
1125	56853	3736
1126	56905	3685
1127	56957	3635
1128	57008	3585
1129	57060	3534
1130	57108	3484
1131	57157	3433
1132	57207	3382
1133	57260	3332
1134	57307	3281
1135	57354	3231
1136	57407	3180
1137	57459	3130
1138	57508	3079
1139	57559	3029
1140	57607	2978
1141	57661	2928
1142	57716	2878
1143	57768	2827
1144	57819	2777
1145	57868	2726
1146	57919	2676
1147	57969	2625
1148	58019	2575
1149	58072	2524
1150	58122	2474
1151	58169	2423
1152	58218	2373
1153	58274	2322
1154	58325	2272
1155	58376	2221
1156	58430	2171
1157	58482	2121
1158	58534	2070
1159	58582	2020
1160	58634	1969
1161	58682	1919
1162	58731	1868
1163	58784	1818
1164	58834	1767
1165	58884	1717
1166	58934	1666
1167	58986	1616
1168	59037	1565
1169	59092	1515
1170	59141	1464
1171	59193	1414
1172	59243	1363
1173	59291	1313
1174	59340	1262
1175	59392	1212
1176	59440	1161
1177	59490	1111
1178	59545	1060
1179	59594	1010
1180	59644	959
1181	59697	909
1182	59747	858
1183	59797	808
1184	59847	757
1185	59897	707
1186	59947	656
1187	59995	606
1188	60048	555
1189	60098	505
1190	60149	454
1191	60202	404
1192	60255	353
1193	60314	303
1194	60367	252
1195	60418	202
1196	60467	151
1197	60519	101
1198	60566	50
1199	60617	0
